Accessibility Namespace	Represents a managed wrapper for the Component Object Model (COM) accessibility interface.
System.Net.Security Namespace	Provides network streams for secure communications between hosts.
System.Net.Sockets Namespace	Provides a managed implementation of the Windows Sockets (Winsock) interface for developers who need to tightly control access to the network.
System.Net.WebSockets Namespace	Provides a managed implementation of the WebSocket interface for developers.
System.Numerics Namespace	Contains numeric types that complement the numeric primitives, such as Byte, Double, and Int32, that are defined by .NET.
System.Printing Namespace	Provides classes that enable you to automate the management of print servers, print queues, and print jobs.
System.Printing.IndexedProperties Namespace	Provides classes that enable rapidly copying the property settings of a print system object to another object of the same type. Also, enables iteration through the properties of print system objects and the discovery of their types at run time, without using reflection.
System.Printing.Interop Namespace	Provides interconversion of managed PrintTicket objects and unmanaged Graphics Device Interface (GDI) DEVMODE structures.
System.Reflection Namespace	Contains types that retrieve information about assemblies, modules, members, parameters, and other entities in managed code by examining their metadata. These types also can be used to manipulate instances of loaded types, for example to hook up events or to invoke methods. To dynamically create types, use the System.Reflection.Emit namespace.
System.Reflection.Context Namespace	Contains classes that enable customized reflection contexts.
System.Reflection.Emit Namespace	Contains classes that allow a compiler or tool to emit metadata and Microsoft intermediate language (MSIL) and optionally generate a PE file on disk. The primary clients of these classes are script engines and compilers.
System.Resources Namespace	Provides classes and interfaces that allow developers to create, store, and manage various culture-specific resources used in an application. One of the most important classes of the System.Resources namespace is the ResourceManager class.
System.Resources.Tools Namespace	Contains the StronglyTypedResourceBuilder class, which provides support for strongly typed resources. Beginning with .NET Framework version 2.0, this compile-time feature encapsulates access to resources by creating classes that contain a set of static read-only (get) properties, thus making it easier to consume resources.
System.Runtime Namespace	Contains advanced types that support diverse namespaces such as the System, Runtime, and Security namespaces.
System.Runtime.Caching Namespace	Contains types that let you implement caching in .NET applications.
System.Runtime.Caching.Configuration Namespace	Contains configuration handler classes for the .NET Framework caching feature.
System.Runtime.Caching.Hosting Namespace	Contains types that support .NET Framework hosting environments that use the caching features in ASP.NET.
System.Runtime.CompilerServices Namespace	Provides functionality for compiler writers who use managed code to specify attributes in metadata that affect the run-time behavior of the common language runtime.
System.Runtime.ConstrainedExecution Namespace	Defines a set of types that enumerate and define a contract for reliability between the author of some code, and the developers who take a dependency on that code. The types in the System.Runtime.ConstrainedExecution namespace are intended for use in constrained execution regions (CERs).
System.Runtime.DesignerServices Namespace	Provides classes that support application and component designers in integrated development environments.
System.Runtime.DurableInstancing Namespace	This namespace contains classes that are used by the Windows Communication Foundation (WCF) infrastructure to implement a persistence provider.
System.Runtime.ExceptionServices Namespace	Provides classes for advanced exception handling.
System.Runtime.Hosting Namespace	Contains advanced types that are used in application activation within application domains.
System.Runtime.InteropServices Namespace	Provides a wide variety of members that support COM interop and platform invoke services. If you are unfamiliar with these services, see Interoperating with Unmanaged Code.
System.Runtime.InteropServices.ComTypes Namespace	Contains managed types that correspond to types used by COM interop.
System.Runtime.InteropServices.CustomMarshalers Namespace	Provides internal marshaling support for .NET Framework.
System.Runtime.InteropServices.Expando Namespace	Contains the IExpando interface, which allows modification of an object by adding or removing its members.
System.Runtime.InteropServices.WindowsRuntime Namespace	Contains classes that support interoperation between managed code and the Windows Runtime, and that enable the creation of Windows Runtime types with managed code.
System.Runtime.Remoting Namespace	Provides classes and interfaces that allow developers to create and configure distributed applications. Some of the more important classes of the System.Runtime.Remoting namespace are the RemotingConfiguration class, the RemotingServices class, and the ObjRef class.
System.Runtime.Remoting.Activation Namespace	Provides classes and objects that support server and client activation of remote objects.
System.Runtime.Remoting.Channels Namespace	Contains classes that support and handle channels and channel sinks, which are used as the transport medium when a client calls a method on a remote object.
System.Runtime.Remoting.Channels.Http Namespace	Contains channels that use the HTTP protocol to transport messages and objects to and from remote locations. By default, the HTTP channels encode objects and method calls in SOAP format for transmission, but other encoding and decoding formatter sinks can be specified in the configuration properties of a channel. One of the most important classes of the System.Runtime.Remoting.Channels.Http namespace is the HttpChannel class.
System.Runtime.Remoting.Channels.Ipc Namespace	Defines a communication channel for remoting that uses the interprocess communication (IPC) system of the Windows operating system. Because it does not use network communication, the IPC channel is much faster than the HTTP and TCP channels, but it can only be used for communication between application domains on the same physical computer.
System.Runtime.Remoting.Channels.Tcp Namespace	Contains channels that use the TCP protocol to transport messages and objects to and from remote locations. By default, the TCP channels encode objects and method calls in binary format for transmission, but other encoding and decoding formatter sinks can be specified in the configuration properties of a channel. One of the most important classes of the System.Runtime.Remoting.Channels.Tcp namespace is the TcpChannel class.
System.Runtime.Remoting.Contexts Namespace	Contains objects that define the contexts all objects reside within. A context is an ordered sequence of properties that defines an environment for the objects within it. Contexts are created during the activation process for objects that are configured to require certain automatic services such synchronization, transactions, just-in-time (JIT) activation, security, and so on. Multiple objects can live inside a context.
System.Runtime.Remoting.Lifetime Namespace	Contains classes that manage the lifetime of remote objects.
System.Runtime.Remoting.Messaging Namespace	Contains classes used to create and transmit messages. The remoting infrastructure uses messages to communicate with remote objects. Messages are used to transmit remote method calls, to activate remote objects, and to communicate information. A message object carries a set of named properties, including action identifiers, envoy information, and parameters. Some of the most important classes of the System.Runtime.Remoting.Messaging namespace are the AsyncResult class, the RemotingSurrogateSelector class, and the ReturnMessage class.
System.Runtime.Remoting.Metadata Namespace	Contains classes and attributes that can be used to customize generation and processing of SOAP for objects and fields. The classes of this namespace can be used to indicate the SOAPAction header field, type output, XML element name, and the method XML namespace URI. This information is used by the SOAP serializer during SOAP generation and the Soapsuds Tool (Soapsuds.exe) during Web Services Description Language (WSDL) generation. The information specified by the attributes in this namespace can be used on the receiving end of the generated SOAP to customize processing of the remoted method calls and objects. One of the most important classes of the System.Runtime.Remoting.Metadata namespace is SoapAttribute class. The SoapAttribute class is nonfunctional, and can only be used as the base class for all the metadata attributes.
System.Runtime.Remoting.Metadata.W3cXsd2001 Namespace	Contains wrapper classes for the data types that conform to the W3C specification. All date and time types conform to the ISO standards specification.
System.Runtime.Remoting.MetadataServices Namespace	Contains the classes that are used by the Soapsuds Tool (Soapsuds.exe) command-line tool and the user code to convert metadata to and from XML schema for the remoting infrastructure. Some of the most important classes of this namespace are the SdlChannelSink class and the MetaData class.
System.Runtime.Remoting.Proxies Namespace	Contains classes that control and provide functionality for proxies. A proxy is a local object that is an image of a remote object. Proxies enable clients to access objects across remoting boundaries.
System.Runtime.Remoting.Services Namespace	Contains service classes that provide functionality to .NET Framework. One of the most important classes of this namespace is the TrackingServices class.
System.Runtime.Serialization Namespace	Contains classes that can be used for serializing and deserializing objects. Serialization is the process of converting an object or a graph of objects into a linear sequence of bytes for either storage or transmission to another location. Deserialization is the process of taking in stored information and recreating objects from it.
System.Runtime.Serialization.Configuration Namespace	Contains classes used to read the values found in application configuration under system.xml.serialization section. The classes in this namespace are used by the serialization infrastructure to handle the configuration elements and cannot be used directly. Instead, to configure the DataContractSerializer, create an application configuration file and use the following XML elements. <system.xml.serialization><dataContractSerializer><declaredTypes><add> element for <declaredTypes><knownType> element.
System.Runtime.Serialization.Formatters Namespace	Provides common enumerations, interfaces, and classes that are used by serialization formatters.
System.Runtime.Serialization.Formatters.Binary Namespace	Contains the BinaryFormatter class, which can be used to serialize and deserialize objects in binary format.
System.Runtime.Serialization.Formatters.Soap Namespace	Contains the SoapFormatter class, which can be used to serialize and deserialize objects in the SOAP format. When building applications that uses the types in this namespace, you must reference the System.Runtime.Serialization.Formatters.Soap.dll assembly.
System.Runtime.Serialization.Json Namespace	Provides classes related to Json serialization.
System.Runtime.Versioning Namespace	Contains advanced types that support versioning in side by side implementations of .NET.
System.Security Namespace	Provides the underlying structure of the common language runtime security system, including base classes for permissions.
System.Security.AccessControl Namespace	Provides programming elements that control access to and audit security-related actions on securable objects.
System.Security.Authentication Namespace	Provides a set of enumerations that describe the security of a connection. These enumerations include CipherAlgorithmType, ExchangeAlgorithmType, HashAlgorithmType, and SslProtocols.
System.Security.Authentication.ExtendedProtection Namespace	Provides support for authentication using extended protection for applications.
System.Security.Authentication.ExtendedProtection.Configuration Namespace	Provides support for configuration of authentication using extended protection for applications.
System.Security.Claims Namespace	Contains classes that implement claims-based identity in .NET, including classes that represent claims, claims-based identities, and claims-based principals.
System.Security.Cryptography Namespace	Provides cryptographic services, including secure encoding and decoding of data, as well as many other operations, such as hashing, random number generation, and message authentication. For more information, see Cryptographic Services.
System.Security.Cryptography.Pkcs Namespace	Provides programming elements for Public Key Cryptography Standards (PKCS), including methods for signing data, exchanging keys, requesting certificates, public key encryption and decryption, and other security functions.
System.Security.Cryptography.X509Certificates Namespace	Contains the common language runtime implementation of the Authenticode X.509 v.3 certificate. This certificate is signed with a private key that uniquely and positively identifies the holder of the certificate.
System.Security.Cryptography.Xml Namespace	Contains classes to support the creation and validation of XML digital signatures. The classes in this namespace implement the World Wide Web Consortium Recommendation, XML-Signature Syntax and Processing.
System.Security.Permissions Namespace	Defines classes that control access to operations and resources based on policy.
System.Security.Policy Namespace	Contains code groups, membership conditions, and evidence. These three types of classes are used to create the rules applied by the common language runtime security policy system. Evidence classes are the input to security policy and membership conditions are the switches; together these create policy statements and determine the granted permission set. Policy levels and code groups are the structure of the policy hierarchy. Code groups are the encapsulation of a rule and are arranged hierarchically in a policy level.
System.Security.Principal Namespace	Defines a principal object that represents the security context under which code is running. For more information, see Role-Based Security.
System.Security.RightsManagement Namespace	Provides types to support rights management of application-created content such as that stored in a Package or XpsDocument.
System.ServiceModel Namespace	Provides classes related to the service model.
System.ServiceModel.Activation Namespace	Provides classes related to service model activation.
System.ServiceModel.Activation.Configuration Namespace	Represents the configuration settings for the SMSvcHost.exe tool. This namespace represents the configuration elements that can be configured in the SMSvcHost.exe.config file. Specifically, it includes all machine-wide settings that need to be configured.
System.ServiceModel.Activities Namespace	Contains classes that allow you to send messages to and receive messages from workflows. These activities are used when writing workflow services and allow you to define how messages are sent and received in a workflow.
System.ServiceModel.Activities.Activation Namespace	Contains the WorkflowServiceHostFactory that provides instances of WorkflowServiceHost in managed hosting environments where the host instance is created dynamically in response to incoming messages.
System.ServiceModel.Activities.Configuration Namespace	Contains classes used to configure workflow services. These classes allow you to apply service and endpoint behaviors and configure tracking.
System.ServiceModel.Activities.Description Namespace	Contains classes that enable you to control various behaviors related to workflow services.
System.ServiceModel.Activities.Presentation Namespace	Provides classes related to service model presentation activities.
System.ServiceModel.Activities.Presentation.Factories Namespace	Contains factories that create Receive/SendReply and Send/ReceiveReply activity pairs.
System.ServiceModel.Activities.Tracking Namespace	Contains classes used to create tracking records for a workflow service instance. Tracking records are created by created by the workflow runtime during the execution of a workflow instance, and are sent to registered tracking participants.
System.ServiceModel.Activities.Tracking.Configuration Namespace	Contains classes used to configure tracking for service hosted workflows. These classes allow you to specify the tracking information you want your workflow service to generate.
System.ServiceModel.Channels Namespace	Provides classes related to service model channels.
System.ServiceModel.ComIntegration Namespace	Defines classes needed for integration with COM applications.
System.ServiceModel.Configuration Namespace	Provides classes related to service model configuration.
System.ServiceModel.Description Namespace	Provides classes related to the service model description.
System.ServiceModel.Diagnostics Namespace	Contains an enumeration that is used to configure performance counters for diagnostics purposes.
System.ServiceModel.Discovery Namespace	Contains the classes required for the creation and use of discoverable services. These classes implement the WS-Discovery protocol for Windows Communication Foundation (WCF).
System.ServiceModel.Discovery.Configuration Namespace	Contains classes that allow you to configure discovery settings in a configuration file.
System.ServiceModel.Discovery.Version11 Namespace	Contains the classes required for the creation and use of discoverable services. These classes implement the WS-Discovery version 1.1 protocol for Windows Communication Foundation (WCF).
System.ServiceModel.Discovery.VersionApril2005 Namespace	Contains the classes required for the creation and use of discoverable services. These classes implement the April 2005 version of the WS-Discovery protocol for Windows Communication Foundation (WCF).
System.ServiceModel.Discovery.VersionCD1 Namespace	Contains the classes required for the creation and use of discoverable services. These classes implement the Committee Draft 1 version of the WS-Discovery protocol for Windows Communication Foundation (WCF).
System.ServiceModel.Dispatcher Namespace	Provides classes related to dispatching the service model.
System.ServiceModel.MsmqIntegration Namespace	Contains classes that relate to Microsoft Message Queuing Service (MSMQ) integration, which allows communication between MSMQ applications and Windows Communication Foundation (WCF) applications.
System.ServiceModel.PeerResolvers Namespace	Contains classes that allow developers to customize and extend the Peer Name Resolution Protocol service.
System.ServiceModel.Persistence Namespace	Contains classes that allow workflow services (WCF services implemented as workflows) to be persisted into the persistence store.
System.ServiceModel.Routing Namespace	This namespace contains classes that are used to configure and manage the WCF RoutingService.
System.ServiceModel.Routing.Configuration Namespace	This namespace contains configuration classes that are used by the Windows Communication Foundation (WCF) infrastructure to convert XML into Common Language Runtime (CLR) types. You can also manipulate these classes directly for extensibility purposes.
System.ServiceModel.Security Namespace	Contains general security-related types.
System.ServiceModel.Security.Tokens Namespace	Deals with security tokens and certificates.
System.ServiceModel.Syndication Namespace	Provides classes related to service model syndication.
System.ServiceModel.Web Namespace	Provides classes related to using the service model on the web.
System.ServiceModel.XamlIntegration Namespace	Provides utility classes to enable the serialization of Windows Communication Foundation (WCF) entities to XAML.
System.ServiceProcess Namespace	Provides classes that allow you to implement, install, and control Windows service applications. Services are long-running executables that run without a user interface. Implementing a service involves inheriting from the ServiceBase class and defining specific behavior to process when start, stop, pause, and continue commands are passed in, as well as custom behavior and actions to take when the system shuts down.
System.ServiceProcess.Design Namespace	Contains classes that can be used to extend design-time support for Windows services applications.
System.Speech.AudioFormat Namespace	Contains a single class, SpeechAudioFormatInfo, that contains information about the format of the audio that is being input to the speech recognition engine, or being output from the speech synthesis engine.
System.Speech.Recognition Namespace	Contains Windows Desktop Speech technology types for implementing speech recognition.
System.Speech.Recognition.SrgsGrammar Namespace	With the members of the System.Speech.Recognition.SrgsGrammar namespace, you can programmatically create grammars that comply with the W3C Speech Recognition Grammar Specification Version 1.0 (SRGS).
System.Speech.Synthesis Namespace	Contains classes for initializing and configuring a speech synthesis engine, for creating prompts, for generating speech, for responding to events, and for modifying voice characteristics.
System.Speech.Synthesis.TtsEngine Namespace	Supports the creation of Speech Synthesis Markup Language (SSML) based custom engines for rendering text to speech (TTS).
System.Text Namespace	Contains classes that represent ASCII and Unicode character encodings; abstract base classes for converting blocks of characters to and from blocks of bytes; and a helper class that manipulates and formats String objects without creating intermediate instances of String.
System.Text.RegularExpressions Namespace	Provides regular expression functionality that may be used from any platform or language that runs within .NET. In addition to the types contained in this namespace, the RegexStringValidator class enables you to determine whether a particular string conforms to a regular expression pattern.
System.Threading Namespace	Provides classes and interfaces that enable multithreaded programming. In addition to classes for synchronizing thread activities and access to data (Mutex, Monitor, Interlocked, AutoResetEvent, and so on), this namespace includes a ThreadPool class that allows you to use a pool of system-supplied threads, and a Timer class that executes callback methods on thread pool threads.
System.Threading.Tasks Namespace	Provides types that simplify the work of writing concurrent and asynchronous code. The main types are Task, which represents an asynchronous operation that can be waited on and cancelled, and Task<TResult>, which is a task that can return a value. The TaskFactory class provides static methods for creating and starting tasks, and the TaskScheduler class provides the default thread scheduling infrastructure.
System.Timers Namespace	Provides the Timer component, which allows you to raise an event on a specified interval.
System.Transactions Namespace	Contains classes that allow you to write your own transactional application and resource manager. Specifically, you can create and participate in a transaction (local or distributed) with one or multiple participants.
System.Transactions.Configuration Namespace	Contains classes that describe configuration options used by System.Transactions classes.
System.Web Namespace	For .NET Core and .NET 5+, this namespace contains the HttpUtility class. For .NET Framework, this namespace contains classes and interfaces that enable browser-server communication. These classes include the HttpRequest class, which provides extensive information about the current HTTP request; the HttpResponse class, which manages HTTP output to the client; and the HttpServerUtility class, which provides access to server-side utilities and processes. System.Web also includes classes for cookie manipulation, file transfer, exception information, and output cache control in .NET Framework.
System.Web.ApplicationServices Namespace	Provides classes that enable you to access ASP.NET forms authentication, roles, and profiles application services as Windows Communication Foundation (WCF) services.
System.Web.Caching Namespace	Provides classes for caching frequently used data on the server.
System.Web.ClientServices Namespace	Provides classes that support access in Windows-based applications to the Microsoft Ajax authentication, roles, and profiles services.
System.Web.ClientServices.Providers Namespace	Contains client service providers and other classes that support access in Windows-based applications to the Microsoft Ajax authentication, roles, and profile services.
System.Web.Compilation Namespace	Contains classes for generating and compiling custom file types within the ASP.NET build environment.
System.Web.Configuration Namespace	Contains classes that are used to set up ASP.NET configuration.
System.Web.Configuration.Internal Namespace	Contains configuration types intended for internal use only.
System.Web.DynamicData Namespace	Contains classes that provide the core functionality for ASP.NET Dynamic Data. It also provides extensibility features that let you customize dynamic data behavior.
System.Web.DynamicData.Design Namespace	Contains classes that provide design-time support for the classes in the System.Web.DynamicData namespace.
System.Web.DynamicData.ModelProviders Namespace	Contains classes that define the core functionality for ASP.NET Dynamic Data providers.
System.Web.Globalization Namespace	Provides classes and interfaces for localization providers.
System.Web.Handlers Namespace	Contains HTTP handler classes that process HTTP requests to a Web server.
System.Web.Hosting Namespace	Provides the functionality for hosting ASP.NET applications from managed applications outside Microsoft Internet Information Services (IIS).
System.Web.Instrumentation Namespace	Contains types that provide information about current page execution, that include execution listeners and instrumentation, and that include methods that are called before and after view engine renders output.
System.Web.Mail Namespace	Contains classes that enable you to construct and send messages using the CDOSYS (Collaboration Data Objects for Windows 2000) message component. The mail message is delivered either through the SMTP mail service built into Microsoft Windows 2000 or through an arbitrary SMTP server. The classes in this namespace can be used from ASP.NET or from any managed application.
System.Web.Management Namespace	Contains classes and interfaces for managing and monitoring the health of Web applications.
System.Web.Mobile Namespace	Contains the core capabilities, including authentication and error handling, required for building ASP.NET mobile Web applications. For information about how to develop ASP.NET mobile applications, see the www.asp.net/mobile Web site.
System.Web.ModelBinding Namespace	Provides classes that enable you to bind data objects to ASP.NET Web Forms server controls.
System.Web.Profile Namespace	Contains classes that are used to work with ASP.NET user profiles in Web server applications.
System.Web.Query.Dynamic Namespace	Contains classes that are used to parse expressions from a LinqDataSource control into a language-integrated query (LINQ).
System.Web.RegularExpressions Namespace	Provides precompiled regular expressions that can be used to parse ASP.NET files. All members of the System.Web.RegularExpressions namespace are descendants of the Regex class.
System.Web.Routing Namespace	Provides classes that are used with URL routing, which enables you to use URLs that do not map to a physical file.
System.Web.Script Namespace	Contains classes that provide script resource information.
System.Web.Script.Serialization Namespace	Contains classes that provide JavaScript Object Notation (JSON) serialization and deserialization for managed types. It also provides extensibility features to customize serialization behavior.
System.Web.Script.Services Namespace	Provides attributes that let you customize Web service support for AJAX functionality in ASP.NET.
System.Web.Security Namespace	Contains classes that are used to implement ASP.NET security in Web server applications.
System.Web.Security.AntiXss Namespace	Contains methods that you can use to encode strings in order help you protect your application against cross-site scripting (XSS) attacks and LDAP injection attacks.
System.Web.Services Namespace	Contains classes that enable you to create XML Web services using ASP.NET and XML Web service clients. XML Web services are applications that provide the ability to exchange messages in a loosely coupled environment using standard protocols such as HTTP, XML, XSD, SOAP, and WSDL. XML Web services enable the building of modular applications within and across companies in heterogeneous environments making them interoperable with a broad variety of implementations, platforms and devices. The SOAP-based XML messages of these applications can have well-defined (structured and typed), or loosely defined parts (using arbitrary XML). The ability of the messages to evolve over time without breaking the protocol is fundamental to the flexibility and robustness of XML Web services as a building block for the future of the Web.
System.Web.Services.Configuration Namespace	Contains classes that configure how XML Web services created using ASP.NET run.
System.Web.Services.Description Namespace	Contains classes that enable you to publicly describe an XML Web service by using the Web Services Description Language (WSDL). Each class in this namespace corresponds to a specific element in the WSDL specification, and the class hierarchy corresponds to the XML structure of a valid WSDL document. For more information about WSDL, see the WSDL specification.
System.Web.Services.Discovery Namespace	Contains classes that allows XML Web service clients to locate the available XML Web services on a Web server through a process called XML Web services Discovery.
System.Web.Services.Protocols Namespace	Contains classes that define the protocols used to transmit data across the wire during the communication between XML Web service clients and XML Web services created using ASP.NET.
System.Web.SessionState Namespace	Provides classes and interfaces that enable storage of data specific to a single client within a web application on the server. The session-state data is used to give the client the appearance of a persistent connection with the application. State information can be stored within local process memory or, for web farm configurations, it can be stored out of process using either the ASP.NET State service or a Microsoft SQL Server database.
System.Web.UI Namespace	Provides classes and interfaces that enable you to create ASP.NET server controls and ASP.NET Web pages for the user interface of your ASP.NET Web applications.
System.Web.UI.Adapters Namespace	Contains the base classes for control adapters and page adapters. You can use these adapters to override the life-cycle states of pages and controls. This is useful if you want to modify a control's markup or behavior for new markup standards or for specific browsers.
System.Web.UI.DataVisualization.Charting Namespace	Contains methods and properties for the Chart Web server control.
System.Web.UI.Design Namespace	Contains classes that can be used to extend design-time support for ASP.NET Web pages and for Web server controls.
System.Web.UI.Design.Directives Namespace	Contains classes that can be used to extend design-time support for ASP.NET Web page directives.
System.Web.UI.Design.MobileControls Namespace	Contains classes that provide design-time support for the classes in the System.Web.UI.MobileControls namespace. For information about how to develop ASP.NET mobile applications, see the www.asp.net/mobile Web site.
System.Web.UI.Design.MobileControls.Converters Namespace	Contains classes that provide design-time support for data type converters in mobile controls. For information about how to develop ASP.NET mobile applications, see the www.asp.net/mobile Web site.
System.Web.UI.Design.WebControls Namespace	Contains classes that can be used to extend design-time support for Web server controls.
System.Web.UI.Design.WebControls.WebParts Namespace	Contains classes that provide design-time support for controls derived from classes in the System.Web.UI.WebControls.WebParts namespace.
System.Web.UI.HtmlControls Namespace	Contains classes that allow you to create HTML server controls on a Web Forms page. HTML server controls run on the server and map directly to standard HTML tags supported by most browsers. This allows you to programmatically control the HTML elements on a Web Forms page.
System.Web.UI.MobileControls Namespace	Contains a set of ASP.NET server controls that can render your application for different mobile devices. The APIs in this namespace are obsolete. For information about how to develop ASP.NET mobile applications, see the www.asp.net/mobile Web site.
System.Web.UI.MobileControls.Adapters Namespace	Contains classes you can use to override the life-cycle stages of a mobile control to modify its default HTML, CHTML, or WML markup or behavior for new markup standards or for specific browsers and mobile devices. The APIs in this namespace are obsolete. For information about how to develop ASP.NET mobile applications, see the www.asp.net/mobile Web site.
System.Web.UI.MobileControls.Adapters.XhtmlAdapters Namespace	Contains classes you can use to override the life-cycle stages of a mobile control to modify its default XHTML markup or behavior for new markup standards or for specific browsers and mobile devices. For information about how to develop ASP.NET mobile applications, see the www.asp.net/mobile Web site.
System.Web.UI.WebControls Namespace	Contains classes that allow you to create Web server controls on a Web page. Web server controls run on the server and include form controls such as buttons and text boxes. They also include special-purpose controls such as a calendar. Because Web server controls run on the server, you can programmatically control these elements. Although Web server controls are rendered as HTML, their object model does not necessarily reflect HTML syntax.
System.Web.UI.WebControls.Adapters Namespace	Contains classes that you can use to override the life-cycle stages of a Web control. The classes enable you to modify a control's markup or behavior for new markup standards or for specific browsers.
System.Web.UI.WebControls.Expressions Namespace	Provides classes that enable you to filter data in a Web page by using the QueryExtender control.
System.Web.UI.WebControls.WebParts Namespace	Contains classes and interfaces known collectively as the Web Parts control set. You can use these classes to create Web pages whose appearance and behavior can be modified (personalized) by end users. Each user's personalized settings for a page are saved for future browser sessions.
System.Web.Util Namespace	Provides classes that enable callback methods to be run under the scope of a transaction and that enable work to be posted to separate threads.
System.Web.WebSockets Namespace	Contains classes that support adding WebSocket functionality to ASP.NET Web Forms applications.
System.Windows Namespace	Provides several important Windows Presentation Foundation (WPF) base element classes, various classes that support the WPF property system and event logic, and other types that are more broadly consumed by the WPF core and framework.
System.Windows.Annotations Namespace	Provides classes to support user-created annotations on content displayed in WPF document viewing controls.
System.Windows.Annotations.Storage Namespace	Provides types that define the storage architecture and mediums to save and retrieve user-created annotations.
System.Windows.Automation Namespace	Provides support for Windows Presentation Foundation (WPF) UI Automation clients.
System.Windows.Automation.Peers Namespace	Defines the AutomationPeer base class and a set of types that derive from it that correspond to .NET controls. Each AutomationPeer exposes the corresponding .NET control to Microsoft UI Automation.
System.Windows.Automation.Provider Namespace	Provides APIs for creating UI Automation providers.
System.Windows.Automation.Text Namespace	Contains enumerations that specify text formatting and related behavior for Windows Presentation Foundation (WPF) UI automation.
System.Windows.Baml2006 Namespace	Contains reader and writer classes that can consume XAML in BAML form.
System.Windows.Controls Namespace	Provides classes to create elements, known as controls, that enable a user to interact with an application. The control classes are at the core of the user's experience with any application because they allow a user to view, select, or enter data or other information.
System.Windows.Controls.Primitives Namespace	Contains base classes and controls that are intended to be used as part of other more complex controls.
System.Windows.Controls.Ribbon Namespace	Contains types that are used to create a user interface by using the Microsoft Ribbon for WPF.
System.Windows.Controls.Ribbon.Primitives Namespace	Contains types that are used as layout containers in a Microsoft Ribbon for WPF control.
System.Windows.Converters Namespace	Provides classes to support type conversion during serialization in Windows Presentation Foundation (WPF).
System.Windows.Data Namespace	Contains classes used for binding properties to data sources, data source provider classes, and data-specific implementations of collections and views.
System.Windows.Diagnostics Namespace	Provides support for Windows Presentation Foundation (WPF) XAML tooling.
System.Windows.Documents Namespace	Contains types that support FixedDocument, FlowDocument, and XML Paper Specification (XPS) document creation.
System.Windows.Documents.DocumentStructures Namespace	Provides classes to describe the structure of an XpsDocument in terms of sections, paragraphs, figures, bulleted or numbered lists, and tables.
System.Windows.Documents.Serialization Namespace	Provides types that support the creation and use of run-time accessible plug-in serializers that read and write documents in different data formats.
System.Windows.Forms Namespace	Contains classes for creating Windows-based applications that take full advantage of the rich user interface features available in the Microsoft Windows operating system.
System.Windows.Forms.Automation Namespace	Provides support for Windows Forms UI Automation clients.
System.Windows.Forms.ComponentModel.Com2Interop Namespace	Contains helper classes that Visual Studio uses to display property pages while in design mode.
System.Windows.Forms.DataVisualization.Charting Namespace	Contains methods and properties for the Chart Windows forms control.
System.Windows.Forms.Design Namespace	Contains classes that support design-time configuration and behavior for Windows Forms components. These classes consist of designer classes that provide support for Windows Forms components, a set of design-time services; UITypeEditor classes for configuring certain types of properties, and classes for importing ActiveX controls.
System.Windows.Forms.Design.Behavior Namespace	Contains classes for creating custom user interface behavior for components at design time.
System.Windows.Forms.Integration Namespace	Contains classes that support interoperation of Windows Forms and WPF controls.
System.Windows.Forms.Layout Namespace	Contains classes for implementing layout behaviors in your form or control.
System.Windows.Forms.PropertyGridInternal Namespace	Provides internal support for the PropertyGrid control. The classes in this namespace support the .NET infrastructure and aren't intended to be used directly from your code.
System.Windows.Forms.VisualStyles Namespace	Contains classes for rendering controls and other Windows user interface (UI) elements with visual styles in operating systems that support them.
System.Windows.Ink Namespace	Provides classes to interact with and manipulate ink on the Windows Presentation Foundation (WPF) platform.
System.Windows.Input Namespace	Most of the types in this namespace support the Windows Presentation Foundation (WPF) input system. This includes device abstraction classes for mouse, keyboard, and stylus devices, a common input manager class, support for commanding and custom commands, and various utility classes. However, some of the types are applicable beyond WPF.
System.Windows.Input.Manipulations Namespace	Provides functionality for monitoring and responding to a collection of manipulators as a single composite, enabling an application to track the changes to the composite instead of the individual components.
System.Windows.Input.StylusPlugIns Namespace	Provides classes that support manipulating data from a tablet pen on the Windows Presentation Foundation (WPF) platform. These classes offer low-level control over Stylus input and the creation of digital ink Stroke objects. The StylusPlugIn class provides a mechanism for you to implement custom behavior and apply that behavior to the stream of data coming from the stylus device for the optimal performance.
System.Windows.Input.StylusWisp Namespace	Provides classes that support manipulating data from a WISP tablet device pen on the Windows Presentation Foundation (WPF) platform.
System.Windows.Interop Namespace	Provides supporting types for interoperation between Windows Presentation Foundation (WPF) and other technologies such as Windows APIs and provides base classes for other specific interoperation scenarios involving WPF.
System.Windows.Markup Namespace	Provides types to support XAML. Some of these types are located in WPF assemblies and are specific to WPF scenarios that involve XAML. Other types in this namespace provide support for .NET XAML Services in general, and don't require referencing WPF assemblies.
System.Windows.Markup.Localizer Namespace	Provides types that assist in the localization of binary XAML (BAML) sources.
System.Windows.Markup.Primitives Namespace	Contains classes that support Extensible Application Markup Language (XAML) in Windows Presentation Foundation (WPF).
System.Windows.Media Namespace	Provides types that enable integration of rich media, including drawings, text, and audio/video content in Windows Presentation Foundation (WPF) applications.
System.Windows.Media.Animation Namespace	Provides types that support property animation functionality, including timelines, storyboards, and key frames.
System.Windows.Media.Converters Namespace	Contains classes that are used by the MarkupWriter for serialization of Extensible Application Markup Language (XAML).
